"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0368852459016393,0.963114754098361,0.989423466402628,0.0105765335973716
"2",81,0.0778688524590164,0.922131147540984,0.809644670050761,0.190355329949239
"3",161,0.110655737704918,0.889344262295082,0.745305164319249,0.254694835680751
"4",241,0.131147540983607,0.868852459016393,0.706777316735823,0.293222683264177
"5",321,0.159836065573771,0.840163934426229,0.647160068846816,0.352839931153184
"6",401,0.151639344262295,0.848360655737705,0.647959183673469,0.352040816326531
"7",481,0.176229508196721,0.823770491803279,0.593939393939394,0.406060606060606
"8",561,0.180327868852459,0.819672131147541,0.567099567099567,0.432900432900433
"9",641,0.221311475409836,0.778688524590164,0.54653937947494,0.45346062052506
"10",721,0.221311475409836,0.778688524590164,0.505208333333333,0.494791666666667
"11",801,0.221311475409836,0.778688524590164,0.491978609625668,0.508021390374332
"12",881,0.262295081967213,0.737704918032787,0.472140762463343,0.527859237536657
"13",961,0.25,0.75,0.452095808383234,0.547904191616767
"14",1041,0.262295081967213,0.737704918032787,0.447852760736196,0.552147239263804
"15",1121,0.274590163934426,0.725409836065574,0.434504792332268,0.565495207667732
"16",1201,0.274590163934426,0.725409836065574,0.436305732484076,0.563694267515924
"17",1281,0.282786885245902,0.717213114754098,0.404761904761905,0.595238095238095
"18",1361,0.307377049180328,0.692622950819672,0.385454545454545,0.614545454545455
"19",1441,0.307377049180328,0.692622950819672,0.402826855123675,0.597173144876325
"20",1521,0.307377049180328,0.692622950819672,0.396428571428571,0.603571428571429
"21",1601,0.340163934426229,0.659836065573771,0.358565737051793,0.641434262948207
"22",1681,0.348360655737705,0.651639344262295,0.36144578313253,0.63855421686747
"23",1761,0.352459016393443,0.647540983606557,0.368,0.632
"24",1841,0.360655737704918,0.639344262295082,0.363265306122449,0.636734693877551
"25",1921,0.409836065573771,0.590163934426229,0.354260089686099,0.645739910313901
"26",2001,0.422131147540984,0.577868852459016,0.359090909090909,0.640909090909091
"27",2081,0.434426229508197,0.565573770491803,0.345971563981043,0.654028436018957
"28",2161,0.434426229508197,0.565573770491803,0.320197044334975,0.679802955665025
"29",2241,0.434426229508197,0.565573770491803,0.320197044334975,0.679802955665025
"30",2321,0.450819672131148,0.549180327868853,0.316326530612245,0.683673469387755
"31",2401,0.450819672131148,0.549180327868853,0.316326530612245,0.683673469387755
"32",2481,0.450819672131148,0.549180327868853,0.316326530612245,0.683673469387755
"33",2561,0.463114754098361,0.536885245901639,0.306878306878307,0.693121693121693
"34",2641,0.463114754098361,0.536885245901639,0.299465240641711,0.700534759358289
"35",2721,0.463114754098361,0.536885245901639,0.306878306878307,0.693121693121693
"36",2801,0.467213114754098,0.532786885245902,0.269662921348315,0.730337078651685
"37",2881,0.467213114754098,0.532786885245902,0.257142857142857,0.742857142857143
