"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0487804878048781,0.951219512195122,0.989744938206679,0.0102550617933211
"2",81,0.0731707317073171,0.926829268292683,0.801047120418848,0.198952879581152
"3",161,0.0975609756097561,0.902439024390244,0.72992700729927,0.27007299270073
"4",241,0.0975609756097561,0.902439024390244,0.663636363636364,0.336363636363636
"5",321,0.121951219512195,0.878048780487805,0.608695652173913,0.391304347826087
"6",401,0.146341463414634,0.853658536585366,0.578313253012048,0.421686746987952
"7",481,0.146341463414634,0.853658536585366,0.533333333333333,0.466666666666667
"8",561,0.195121951219512,0.804878048780488,0.528571428571429,0.471428571428571
"9",641,0.195121951219512,0.804878048780488,0.507462686567164,0.492537313432836
"10",721,0.195121951219512,0.804878048780488,0.431034482758621,0.568965517241379
"11",801,0.195121951219512,0.804878048780488,0.34,0.66
"12",881,0.195121951219512,0.804878048780488,0.34,0.66
"13",961,0.24390243902439,0.75609756097561,0.340425531914894,0.659574468085106
"14",1041,0.24390243902439,0.75609756097561,0.340425531914894,0.659574468085106
"15",1121,0.292682926829268,0.707317073170732,0.30952380952381,0.69047619047619
"16",1201,0.292682926829268,0.707317073170732,0.292682926829268,0.707317073170732
"17",1281,0.292682926829268,0.707317073170732,0.275,0.725
"18",1361,0.292682926829268,0.707317073170732,0.292682926829268,0.707317073170732
"19",1441,0.292682926829268,0.707317073170732,0.275,0.725
"20",1521,0.317073170731707,0.682926829268293,0.243243243243243,0.756756756756757
"21",1601,0.317073170731707,0.682926829268293,0.151515151515152,0.848484848484849
"22",1681,0.317073170731707,0.682926829268293,0.151515151515152,0.848484848484849
"23",1761,0.365853658536585,0.634146341463415,0.161290322580645,0.838709677419355
"24",1841,0.365853658536585,0.634146341463415,0.133333333333333,0.866666666666667
"25",1921,0.365853658536585,0.634146341463415,0.133333333333333,0.866666666666667
"26",2001,0.365853658536585,0.634146341463415,0.133333333333333,0.866666666666667
"27",2081,0.365853658536585,0.634146341463415,0.133333333333333,0.866666666666667
"28",2161,0.390243902439024,0.609756097560976,0.137931034482759,0.862068965517241
"29",2241,0.390243902439024,0.609756097560976,0.137931034482759,0.862068965517241
"30",2321,0.390243902439024,0.609756097560976,0.137931034482759,0.862068965517241
"31",2401,0.390243902439024,0.609756097560976,0.107142857142857,0.892857142857143
"32",2481,0.390243902439024,0.609756097560976,0.107142857142857,0.892857142857143
"33",2561,0.390243902439024,0.609756097560976,0.107142857142857,0.892857142857143
"34",2641,0.390243902439024,0.609756097560976,0.107142857142857,0.892857142857143
"35",2721,0.414634146341463,0.585365853658537,0.111111111111111,0.888888888888889
"36",2801,0.414634146341463,0.585365853658537,0.111111111111111,0.888888888888889
"37",2881,0.414634146341463,0.585365853658537,0.111111111111111,0.888888888888889
"38",2961,0.439024390243902,0.560975609756098,0.115384615384615,0.884615384615385
"39",3041,0.439024390243902,0.560975609756098,0.115384615384615,0.884615384615385
"40",3121,0.439024390243902,0.560975609756098,0.115384615384615,0.884615384615385
