"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0550724637681159,0.944927536231884,0.995441930049006,0.00455806995099376
"2",81,0.0971014492753623,0.902898550724638,0.818049065420561,0.181950934579439
"3",161,0.11304347826087,0.88695652173913,0.629090909090909,0.370909090909091
"4",241,0.120289855072464,0.879710144927536,0.574333800841515,0.425666199158485
"5",321,0.126086956521739,0.873913043478261,0.524822695035461,0.475177304964539
"6",401,0.115942028985507,0.884057971014493,0.585879158180584,0.414120841819416
"7",481,0.128985507246377,0.871014492753623,0.482788296041308,0.517211703958692
"8",561,0.133333333333333,0.866666666666667,0.494077834179357,0.505922165820643
"9",641,0.147826086956522,0.852173913043478,0.411411411411411,0.588588588588589
"10",721,0.134782608695652,0.865217391304348,0.471681415929204,0.528318584070796
"11",801,0.139130434782609,0.860869565217391,0.444859813084112,0.555140186915888
"12",881,0.143478260869565,0.856521739130435,0.436068702290076,0.563931297709924
"13",961,0.176811594202899,0.823188405797101,0.317307692307692,0.682692307692308
"14",1041,0.172463768115942,0.827536231884058,0.334498834498834,0.665501165501165
"15",1121,0.152173913043478,0.847826086956522,0.33371298405467,0.66628701594533
"16",1201,0.17536231884058,0.82463768115942,0.329009433962264,0.670990566037736
"17",1281,0.172463768115942,0.827536231884058,0.326650943396226,0.673349056603774
"18",1361,0.192753623188406,0.807246376811594,0.296717171717172,0.703282828282828
"19",1441,0.176811594202899,0.823188405797101,0.31812725090036,0.68187274909964
"20",1521,0.191304347826087,0.808695652173913,0.298994974874372,0.701005025125628
"21",1601,0.202898550724638,0.797101449275362,0.281984334203655,0.718015665796345
"22",1681,0.204347826086957,0.795652173913043,0.284224250325945,0.715775749674055
"23",1761,0.208695652173913,0.791304347826087,0.26514131897712,0.73485868102288
"24",1841,0.23768115942029,0.76231884057971,0.234352256186317,0.765647743813683
"25",1921,0.207246376811594,0.792753623188406,0.265771812080537,0.734228187919463
"26",2001,0.202898550724638,0.797101449275362,0.267643142476698,0.732356857523302
"27",2081,0.236231884057971,0.763768115942029,0.230656934306569,0.769343065693431
"28",2161,0.247826086956522,0.752173913043478,0.210045662100457,0.789954337899543
"29",2241,0.234782608695652,0.765217391304348,0.232558139534884,0.767441860465116
"30",2321,0.268115942028986,0.731884057971015,0.207221350078493,0.792778649921507
"31",2401,0.252173913043478,0.747826086956522,0.211009174311927,0.788990825688073
"32",2481,0.282608695652174,0.717391304347826,0.20926517571885,0.79073482428115
"33",2561,0.291304347826087,0.708695652173913,0.200980392156863,0.799019607843137
"34",2641,0.250724637681159,0.749275362318841,0.210687022900763,0.789312977099237
"35",2721,0.291304347826087,0.708695652173913,0.180904522613065,0.819095477386935
"36",2801,0.268115942028986,0.731884057971015,0.198412698412698,0.801587301587302
"37",2881,0.291304347826087,0.708695652173913,0.178151260504202,0.821848739495798
"38",2961,0.291304347826087,0.708695652173913,0.180904522613065,0.819095477386935
"39",3041,0.288405797101449,0.711594202898551,0.185737976782753,0.814262023217247
"40",3121,0.291304347826087,0.708695652173913,0.178151260504202,0.821848739495798
"41",3201,0.3,0.7,0.174358974358974,0.825641025641026
