"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.047741935483871,0.952258064516129,0.987036711751273,0.0129632882487265
"2",121,0.0683870967741936,0.931612903225806,0.709807073954984,0.290192926045016
"3",241,0.0683870967741936,0.931612903225806,0.522170747849107,0.477829252150893
"4",361,0.0670967741935484,0.932903225806452,0.487960339943343,0.512039660056657
"5",481,0.0825806451612903,0.91741935483871,0.39386189258312,0.60613810741688
"6",601,0.0606451612903226,0.939354838709677,0.624161073825503,0.375838926174497
"7",721,0.0929032258064516,0.907096774193548,0.554781507283091,0.445218492716909
"8",841,0.104516129032258,0.895483870967742,0.248104008667389,0.751895991332611
"9",961,0.0903225806451613,0.909677419354839,0.642857142857143,0.357142857142857
"10",1081,0.0941935483870968,0.905806451612903,0.292338709677419,0.707661290322581
"11",1201,0.0903225806451613,0.909677419354839,0.339268978444236,0.660731021555764
"12",1321,0.0735483870967742,0.926451612903226,0.418152350081037,0.581847649918963
"13",1441,0.0916129032258065,0.908387096774194,0.298105682951147,0.701894317048853
"14",1561,0.0890322580645161,0.910967741935484,0.313896987366375,0.686103012633625
"15",1681,0.0916129032258065,0.908387096774194,0.44215530903328,0.55784469096672
"16",1801,0.0929032258064516,0.907096774193548,0.28774062816616,0.71225937183384
"17",1921,0.101935483870968,0.898064516129032,0.255614973262032,0.744385026737968
"18",2041,0.100645161290323,0.899354838709677,0.260084925690021,0.739915074309979
"19",2161,0.0967741935483871,0.903225806451613,0.268547544409613,0.731452455590387
"20",2281,0.112258064516129,0.887741935483871,0.232142857142857,0.767857142857143
"21",2401,0.0941935483870968,0.905806451612903,0.282208588957055,0.717791411042945
"22",2521,0.108387096774194,0.891612903225806,0.235619469026549,0.764380530973451
"23",2641,0.0993548387096774,0.900645161290323,0.267576075550892,0.732423924449108
"24",2761,0.0941935483870968,0.905806451612903,0.281473899692938,0.718526100307062
"25",2881,0.100645161290323,0.899354838709677,0.252145922746781,0.747854077253219
"26",3001,0.109677419354839,0.890322580645161,0.226457399103139,0.773542600896861
"27",3121,0.109677419354839,0.890322580645161,0.234184239733629,0.765815760266371
"28",3241,0.104516129032258,0.895483870967742,0.255364806866953,0.744635193133047
"29",3361,0.103225806451613,0.896774193548387,0.252688172043011,0.747311827956989
"30",3481,0.110967741935484,0.889032258064516,0.225842696629213,0.774157303370786
"31",3601,0.116129032258065,0.883870967741936,0.21264367816092,0.78735632183908
"32",3721,0.116129032258065,0.883870967741936,0.21264367816092,0.78735632183908
"33",3841,0.116129032258065,0.883870967741936,0.21264367816092,0.78735632183908
"34",3961,0.116129032258065,0.883870967741936,0.21264367816092,0.78735632183908
