"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0401785714285714,0.959821428571429,0.99435616534248,0.00564383465751986
"2",81,0.0803571428571429,0.919642857142857,0.791497975708502,0.208502024291498
"3",161,0.126488095238095,0.873511904761905,0.652045050385299,0.347954949614701
"4",241,0.126488095238095,0.873511904761905,0.628950695322377,0.371049304677623
"5",321,0.163690476190476,0.836309523809524,0.603667136812412,0.396332863187588
"6",401,0.171130952380952,0.828869047619048,0.567546583850932,0.432453416149068
"7",481,0.160714285714286,0.839285714285714,0.57752808988764,0.42247191011236
"8",561,0.191964285714286,0.808035714285714,0.541385135135135,0.458614864864865
"9",641,0.193452380952381,0.806547619047619,0.550952775476388,0.449047224523612
"10",721,0.251488095238095,0.748511904761905,0.465462274176408,0.534537725823592
"11",801,0.254464285714286,0.745535714285714,0.428734321550741,0.571265678449259
"12",881,0.251488095238095,0.748511904761905,0.429705215419501,0.570294784580499
"13",961,0.254464285714286,0.745535714285714,0.428082191780822,0.571917808219178
"14",1041,0.251488095238095,0.748511904761905,0.426453819840365,0.573546180159635
"15",1121,0.285714285714286,0.714285714285714,0.385403329065301,0.614596670934699
"16",1201,0.279761904761905,0.720238095238095,0.412621359223301,0.587378640776699
"17",1281,0.28422619047619,0.71577380952381,0.382541720154044,0.617458279845956
"18",1361,0.34375,0.65625,0.34375,0.65625
"19",1441,0.34672619047619,0.65327380952381,0.3486646884273,0.6513353115727
"20",1521,0.342261904761905,0.657738095238095,0.349042709867452,0.650957290132548
"21",1601,0.342261904761905,0.657738095238095,0.351906158357771,0.648093841642229
"22",1681,0.358630952380952,0.641369047619048,0.316957210776545,0.683042789223455
"23",1761,0.367559523809524,0.632440476190476,0.292845257903494,0.707154742096506
"24",1841,0.375,0.625,0.302325581395349,0.697674418604651
"25",1921,0.373511904761905,0.626488095238095,0.302980132450331,0.697019867549669
"26",2001,0.383928571428571,0.616071428571429,0.274956217162872,0.725043782837128
"27",2081,0.424107142857143,0.575892857142857,0.224448897795591,0.775551102204409
"28",2161,0.40922619047619,0.59077380952381,0.227626459143969,0.772373540856031
"29",2241,0.407738095238095,0.592261904761905,0.236084452975048,0.763915547024952
"30",2321,0.40922619047619,0.59077380952381,0.227626459143969,0.772373540856031
"31",2401,0.413690476190476,0.586309523809524,0.222879684418146,0.777120315581854
