"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0190839694656489,0.980916030534351,0.988591468016158,0.0114085319838416
"2",81,0.0725190839694656,0.927480916030534,0.812064965197216,0.187935034802784
"3",161,0.099236641221374,0.900763358778626,0.680216802168022,0.319783197831978
"4",241,0.114503816793893,0.885496183206107,0.571955719557196,0.428044280442804
"5",321,0.118320610687023,0.881679389312977,0.557471264367816,0.442528735632184
"6",401,0.118320610687023,0.881679389312977,0.517745302713987,0.482254697286013
"7",481,0.125954198473282,0.874045801526718,0.480725623582766,0.519274376417234
"8",561,0.133587786259542,0.866412213740458,0.436724565756824,0.563275434243176
"9",641,0.141221374045802,0.858778625954199,0.420103092783505,0.579896907216495
"10",721,0.156488549618321,0.843511450381679,0.379213483146067,0.620786516853933
"11",801,0.156488549618321,0.843511450381679,0.375706214689266,0.624293785310734
"12",881,0.156488549618321,0.843511450381679,0.372159090909091,0.627840909090909
"13",961,0.156488549618321,0.843511450381679,0.359420289855072,0.640579710144928
"14",1041,0.16030534351145,0.83969465648855,0.316770186335404,0.683229813664596
"15",1121,0.175572519083969,0.824427480916031,0.309904153354633,0.690095846645367
"16",1201,0.175572519083969,0.824427480916031,0.289473684210526,0.710526315789474
"17",1281,0.175572519083969,0.824427480916031,0.28476821192053,0.71523178807947
"18",1361,0.198473282442748,0.801526717557252,0.263157894736842,0.736842105263158
"19",1441,0.194656488549618,0.805343511450382,0.267361111111111,0.732638888888889
"20",1521,0.206106870229008,0.793893129770992,0.265017667844523,0.734982332155477
"21",1601,0.206106870229008,0.793893129770992,0.259786476868327,0.740213523131673
"22",1681,0.206106870229008,0.793893129770992,0.240875912408759,0.759124087591241
"23",1761,0.209923664122137,0.790076335877863,0.230483271375465,0.769516728624535
"24",1841,0.209923664122137,0.790076335877863,0.224719101123595,0.775280898876405
"25",1921,0.209923664122137,0.790076335877863,0.224719101123595,0.775280898876405
"26",2001,0.209923664122137,0.790076335877863,0.224719101123595,0.775280898876405
"27",2081,0.229007633587786,0.770992366412214,0.217054263565891,0.782945736434108
"28",2161,0.229007633587786,0.770992366412214,0.217054263565891,0.782945736434108
"29",2241,0.221374045801527,0.778625954198473,0.218390804597701,0.781609195402299
"30",2321,0.229007633587786,0.770992366412214,0.214007782101167,0.785992217898833
"31",2401,0.244274809160305,0.755725190839695,0.181818181818182,0.818181818181818
"32",2481,0.244274809160305,0.755725190839695,0.164556962025316,0.835443037974684
"33",2561,0.244274809160305,0.755725190839695,0.164556962025316,0.835443037974684
"34",2641,0.244274809160305,0.755725190839695,0.171548117154812,0.828451882845188
"35",2721,0.244274809160305,0.755725190839695,0.164556962025316,0.835443037974684
"36",2801,0.251908396946565,0.748091603053435,0.158798283261803,0.841201716738197
"37",2881,0.251908396946565,0.748091603053435,0.151515151515152,0.848484848484849
"38",2961,0.282442748091603,0.717557251908397,0.15695067264574,0.84304932735426
"39",3041,0.282442748091603,0.717557251908397,0.153153153153153,0.846846846846847
"40",3121,0.282442748091603,0.717557251908397,0.153153153153153,0.846846846846847
